threads,wall_s,per_game_s,per_decision_ms,onnx_avg_us,total_games,timestamp
4,333.698,16.684895,175.630,3375.09,20,2026-04-26T13:54:11+02:00
6,360.362,12.012063,189.664,3664.85,30,2026-04-26T13:59:45+02:00
8,373.279,9.331970,196.463,3820.36,40,2026-04-26T14:05:45+02:00
10,384.219,7.684389,202.221,3855.35,50,2026-04-26T14:11:59+02:00
12,392.806,6.546760,206.740,3964.33,60,2026-04-26T14:18:23+02:00
14,415.075,5.929649,218.461,4115.74,70,2026-04-26T14:24:56+02:00
16,424.032,5.300405,223.175,4289.42,80,2026-04-26T14:31:52+02:00
20,523.774,5.237741,275.671,5108.97,100,2026-04-26T14:39:48+02:00
24,623.424,5.195201,328.118,6061.00,120,2026-04-26T14:48:32+02:00
32,763.137,4.769606,401.651,7763.55,160,2026-04-26T14:58:56+02:00
