Stage,MCTS_Config,Phase,Workers,Batch_Size,Timeout_ms,Rounds_Per_Min,Variance_%,Success,Param_Name,Search_Type
1,1x15,baseline,32,30,10,2698.4146386811894,,True,,
1,1x15,individual_coarse,36,30,10,890.6953503296438,,True,workers,coarse_up
1,1x15,individual_coarse,28,30,10,1090.5205085676182,,True,workers,coarse_down
1,1x15,individual_fine,31,30,10,2775.6628234544996,,True,workers,fine_down
1,1x15,individual_fine,32,30,10,2718.5044858446336,,True,workers,fine_center
1,1x15,individual_fine,33,30,10,2607.2274059207125,,True,workers,fine_up
1,1x15,individual_coarse,32,40,10,955.3691506767316,,True,parallel_batch_size,coarse_up
1,1x15,individual_coarse,32,20,10,1029.0642977494836,,True,parallel_batch_size,coarse_down
1,1x15,individual_fine,32,25,10,2666.116164106011,,True,parallel_batch_size,fine_down
1,1x15,individual_fine,32,30,10,2681.149592424271,,True,parallel_batch_size,fine_center
1,1x15,individual_fine,32,35,10,2644.902767140884,,True,parallel_batch_size,fine_up
1,1x15,individual_coarse,32,30,15,920.2873323460697,,True,batch_timeout_ms,coarse_up
1,1x15,individual_coarse,32,30,5,1003.0759723559481,,True,batch_timeout_ms,coarse_down
1,1x15,individual_fine,32,30,9,2706.9031353011424,,True,batch_timeout_ms,fine_down
1,1x15,individual_fine,32,30,10,2688.9842020271917,,True,batch_timeout_ms,fine_center
1,1x15,individual_fine,32,30,11,2668.258373190319,,True,batch_timeout_ms,fine_up
1,1x15,combination,31,30,9,2709.9295891491447,,True,,combined
1,1x15,combination,30,30,9,2757.576556486216,,True,,fine_tune
1,1x15,combination,32,30,9,2647.4517094424677,,True,,fine_tune
1,1x15,combination,31,25,9,2644.6310451170316,,True,,fine_tune
1,1x15,combination,31,35,9,2696.2143368894845,,True,,fine_tune
1,1x15,combination,31,30,8,2725.885836771783,,True,,fine_tune
1,1x15,combination,31,30,10,2720.2387894755443,,True,,fine_tune
1,1x15,final,31,30,10,3440.9136131170526,0.42951522165785494,True,,
1,1x15,final,31,30,10,3405.8282972528555,0.42951522165785494,True,,
1,1x15,final,31,30,10,3416.4161614421196,0.42951522165785494,True,,
2,2x25,baseline,32,30,10,1483.1369403716435,,True,,
2,2x25,individual_coarse,36,30,10,693.931725089494,,True,workers,coarse_up
