Stage,MCTS_Config,Phase,Workers,Batch_Size,Timeout_ms,Rounds_Per_Min,Variance_%,Success,Param_Name,Search_Type
1,1x15,baseline,32,30,10,1631.7667512976789,,True,,
1,1x15,individual_coarse,32,35,10,991.4522008237785,,True,parallel_batch_size,coarse_up
1,1x15,individual_coarse,32,25,10,944.8111685976,,True,parallel_batch_size,coarse_down
1,1x15,individual_fine,32,25,10,1588.1217306407184,,True,parallel_batch_size,fine_initial_down
1,1x15,individual_fine,32,30,10,1657.4252128238163,,True,parallel_batch_size,fine_initial_center
1,1x15,individual_fine,32,35,10,1605.8296247264268,,True,parallel_batch_size,fine_initial_up
1,1x15,individual_coarse,32,30,15,911.7773024702685,,True,batch_timeout_ms,coarse_up
1,1x15,individual_coarse,32,30,5,998.4247503791728,,True,batch_timeout_ms,coarse_down
1,1x15,individual_fine,32,30,9,1590.2308615442098,,True,batch_timeout_ms,fine_initial_down
1,1x15,individual_fine,32,30,10,1605.831264214276,,True,batch_timeout_ms,fine_initial_center
1,1x15,individual_fine,32,30,11,1590.7522576927959,,True,batch_timeout_ms,fine_initial_up
1,1x15,combination,32,30,10,1601.8948398269004,,True,,combined
1,1x15,combination,32,25,10,1625.29961948632,,True,,fine_tune
1,1x15,combination,32,35,10,1583.284635214891,,True,,fine_tune
1,1x15,combination,32,30,9,1605.6958128186861,,True,,fine_tune
1,1x15,combination,32,30,11,1548.6995442178472,,True,,fine_tune
1,1x15,final,32,30,10,1617.9046451790591,0.7776729806308413,True,,
1,1x15,final,32,30,10,1598.139373257758,0.7776729806308413,True,,
1,1x15,final,32,30,10,1628.434584643876,0.7776729806308413,True,,
2,2x25,baseline,32,30,10,1079.0223233040351,,True,,
2,2x25,individual_coarse,32,35,10,722.2474283854064,,True,parallel_batch_size,coarse_up
2,2x25,individual_coarse,32,25,10,743.4346222577717,,True,parallel_batch_size,coarse_down
2,2x25,individual_fine,32,25,10,1101.8146992241775,,True,parallel_batch_size,fine_initial_down
2,2x25,individual_fine,32,30,10,1083.464598388345,,True,parallel_batch_size,fine_initial_center
2,2x25,individual_fine,32,35,10,1067.95200904307,,True,parallel_batch_size,fine_initial_up
2,2x25,individual_fine,32,20,10,788.153487309962,,True,parallel_batch_size,fine_climb_down
2,2x25,individual_fine,32,15,10,779.2760179131931,,True,parallel_batch_size,fine_verify_down
2,2x25,individual_coarse,32,30,15,690.9101711111432,,True,batch_timeout_ms,coarse_up
2,2x25,individual_coarse,32,30,5,751.541542954307,,True,batch_timeout_ms,coarse_down
2,2x25,individual_fine,32,30,9,1086.2704678284006,,True,batch_timeout_ms,fine_initial_down
2,2x25,individual_fine,32,30,10,1066.4560691483323,,True,batch_timeout_ms,fine_initial_center
2,2x25,individual_fine,32,30,11,1085.5891156657437,,True,batch_timeout_ms,fine_initial_up
2,2x25,individual_fine,32,30,8,1077.1933237602598,,True,batch_timeout_ms,fine_climb_down
2,2x25,individual_fine,32,30,7,1071.4131489487352,,True,batch_timeout_ms,fine_verify_down
2,2x25,combination,32,25,9,1079.1377197934091,,True,,combined
2,2x25,combination,32,20,9,803.0438657881775,,True,,fine_tune
2,2x25,combination,32,30,9,1091.8789406444062,,True,,fine_tune
2,2x25,combination,32,25,8,1065.817078955105,,True,,fine_tune
2,2x25,combination,32,25,10,1083.7340017741392,,True,,fine_tune
2,2x25,final,32,25,10,1077.3978053784942,0.5731315627501604,True,,
2,2x25,final,32,25,10,1082.414556620589,0.5731315627501604,True,,
2,2x25,final,32,25,10,1067.5693939806586,0.5731315627501604,True,,
3,3x35,baseline,32,30,10,554.6887635032342,,True,,
3,3x35,individual_coarse,32,35,10,569.4636974876171,,True,parallel_batch_size,coarse_up
3,3x35,individual_coarse,32,25,10,422.5054864734089,,True,parallel_batch_size,coarse_down
3,3x35,individual_coarse,32,40,10,574.0486017680939,,True,parallel_batch_size,coarse_up
3,3x35,individual_coarse,32,45,10,571.0729231819854,,True,parallel_batch_size,coarse_up
3,3x35,individual_fine,32,35,10,777.1994773956316,,True,parallel_batch_size,fine_initial_down
3,3x35,individual_fine,32,40,10,769.8475942866851,,True,parallel_batch_size,fine_initial_center
3,3x35,individual_fine,32,45,10,774.8277796513672,,True,parallel_batch_size,fine_initial_up
3,3x35,individual_fine,32,30,10,554.6460243865894,,True,parallel_batch_size,fine_climb_down
3,3x35,individual_fine,32,25,10,542.6054967942638,,True,parallel_batch_size,fine_verify_down
3,3x35,individual_coarse,32,30,15,402.209974349705,,True,batch_timeout_ms,coarse_up
3,3x35,individual_coarse,32,30,5,446.5080787193961,,True,batch_timeout_ms,coarse_down
3,3x35,individual_fine,32,30,9,559.81597439359,,True,batch_timeout_ms,fine_initial_down
